Comune;Provincia;Nome italiano rifugio;Nome tedesco rifugio;Altitudine in metri;Propriet�;Telefono;E-Mail;Internet;Gruppo;miovalore                                                          
MALLES VENOSTA;BOLZANO;Sesvenna;Sesvenna-H�tte;2256;AVS;0473-830234;info@sesvenna.it;www.sesvenna.it;Sesvenna - Alpi Venoste e Stubai - Tessa;19                                             
MAREBBE;BOLZANO;Fanes;Fanes-H�tte;2060;Privato;0474-501097;info@rifugiofanes.com;www.rifugiofanes.com;Fanes - Sennes;19                                                                      
MAREBBE;BOLZANO;Fodara Vedla;Fodara-Vedla-H�tte;1965;Privato;0474-501093;rifugio@fodara.it;www.fodara.it;Fanes - Sennes;14                                                                   
MAREBBE;BOLZANO;Lavarella;La-Varella-H�tte;2042;Privato;0474-501079;rifugio@lavarella.it;www.lavarella.it;Fanes - Sennes;20                                                                  
MAREBBE;BOLZANO;Munt de Sennes;Munt de Sennes;2200;Privato;0474-501311;info@muntdesennes.com;www.muntdesennes.com;Fanes - Sennes;15                                                          
MAREBBE;BOLZANO;Sennes;Sennes-H�tte;2176;Privato;0474-501092;info@sennes.com;www.sennes.com;Fanes - Sennes;10                                                                                
MARTELLO;BOLZANO;Lifi Alm;Lifi-Alm-H�tte;2165;Comune di Martello;0473-744708;info@lyfialm.it;www.lyfialm.it;Ortles - Mendola;17                                                              
MARTELLO;BOLZANO;Martello;Marteller-H�tte;2610;AVS;0473-744790;info@martellerhuette.com;www.martellerhuette.com;Ortles - Mendola;20                                                          
MARTELLO;BOLZANO;Nino Corsi;Zufall-H�tte;2265;Provincia Autonoma di Bolzano;0473-744785;info@zufallhuette.com;www.zufallhuette.com;Ortles - Mendola;16                                       
MOSO IN PASSIRIA;BOLZANO;Hochalm;Hochalm-H�tte;2174;Privato;348-4110362;f.gufler@gmx.net;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa;19                                        
MOSO IN PASSIRIA;BOLZANO;Monteneve;Schneeberg-H�tte;2355;Provincia Autonoma di Bolzano;0473-647045;info@schneeberg.org;www.monteneve.org;Sesvenna - Alpi Venoste e Stubai - Tessa;16         
MOSO IN PASSIRIA;BOLZANO;Petrarca all'Altissima;Stettiner-H�tte;2875;Provincia Autonoma di Bolzano;0473-646789;stettiner@13h.de;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa;19 
MOSO IN PASSIRIA;BOLZANO;Plan;Zwickauer-H�tte;2979;Provincia Autonoma di Bolzano;0473-646002;zwickauerhuette@13h.de;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa;12             
ORTISEI;BOLZANO;Rasciesa;Rasch�tz-H�tte;2170;Comune Ortisei;333-3380868;info@rifugioresciesa.com;www.rifugioresciesa.com;Odle - Puez - Sella;18                                              
PARCINES;BOLZANO;Cima Fiammante;Lodner-H�tte;2262;Provincia Autonoma di Bolzano;0473-967367;;;Sesvenna - Alpi Venoste e Stubai - Tessa;10                                                    
PARCINES;BOLZANO;Hochgang;Hochganghaus;1834;Privato;0473-443310;erlacher@hochganghaus.it;www.hochganghaus.it;Sesvenna - Alpi Venoste e Stubai - Tessa;16                                     
PARCINES;BOLZANO;Nassereto;Nassereith-H�tte;1523;Interessenza Ziel-Alm;0473-968222;18                                                                                                        
340-4941347;info@nasereit.com;www.nasereit.com;Sesvenna - Alpi Venoste e Stubai - Tessa;20                                                                                                   
PREDOI;BOLZANO;Brigata Tridentina;Birnl�cken-H�tte;2441;Provincia Autonoma di Bolzano;0474-654140;info@pension-knappenhof.com;www.pension-knappenhof.com;Alpi Aurine - Vedrette di Ries;20   
PREDOI;BOLZANO;Giogo Lungo;Lenkj�chl-H�tte;2590;Provincia Autonoma di Bolzano;0474-654144;info@lenkl.com;www.lenkl.com;Alpi Aurine - Vedrette di Ries;18                                     
RACINES;BOLZANO;Cima Libera;M�ller-H�tte;3148;Provincia Autonoma di Bolzano;0472-647373;13                                                                                                   
329-2346943;info@muellerhuette.eu;www.muellerhuette.eu;Sesvenna - Alpi Venoste e Stubai - Tessa;18                                                                                           
RACINES;BOLZANO;G. Biasi al Bicchiere;Becherhaus;3190;Provincia Autonoma di Bolzano;0472-656377;e.pichler@becherhaus.com;www.becherhaus.com;Sesvenna - Alpi Venoste e Stubai - Tessa;14      
RACINES;BOLZANO;Vedretta Pendente;Teplitzer-H�tte;2586;Provincia Autonoma di Bolzano;338-1358371;info@teplitzerhuette.com;www.teplitzerhuette.com;Sesvenna - Alpi Venoste e Stubai - Tessa;16
RACINES;BOLZANO;Vedretta Piana;Grohmann-H�tte;2254;Provincia Autonoma di Bolzano;348-2400286;;;Sesvenna - Alpi Venoste e Stubai - Tessa;10                                                   
RASUN ANTERSELVA;BOLZANO;Vedretta di Ries;Rieserferner-H�tte;2792;AVS;0474-492125;info@rieserfernerhuette.it;www.rieserfernerhuette.it;Alpi Aurine - Vedrette di Ries;14                     
RIO DI PUSTERIA;BOLZANO;Bressanone;Brixner-H�tte;2300;AVS;0472-547131;info@brixnerhuette.it;www.brixnerhuette.it;Alpi Aurine - Vedrette di Ries;17                                           
RIO DI PUSTERIA;BOLZANO;Wieser;Wieser-H�tte;1833;Privato;0472-520350;info@schutzhaus-wieserhuette.com;www.schutzhaus-wieserhuette.com;Alpi Aurine - Vedrette di Ries;14                      
SAN MARTINO IN BADIA;BOLZANO;Montemuro;Maurerberg-H�tte;2130;Privato;0474-520059;info@maurerberg.it;www.maurerberg.it;Odle - Puez - Sella;19                                                 
SANTA CRISTINA VALGARDENA;BOLZANO;Firenze;Regensburger-H�tte;2037;Provincia Autonoma di Bolzano;0471-796307;info@rifugiofirenze.com;www.rifugiofirenze.com;Odle - Puez - Sella;12            
SANTA CRISTINA VALGARDENA;BOLZANO;Vicenza al Sasso Lungo;Langkofelh�tte;2253;Provincia Autonoma di Bolzano;0471-792323;;;Catinaccio - Sciliar - Sassolungo;14                                
SARENTINO;BOLZANO;Kesselberg;Kesselberg-H�tte;2300;Privato;0473-279477;;;Monti Sarentini;10                                                                                                  
SCENA;BOLZANO;Malga Hinteregg;Hintereggalm;1974;Privato;339-6252609;info@hintereggalm.eu;www.hintereggalm.eu;Monti Sarentini;15                                                              
SCENA;BOLZANO;Picco Ivigna;Ifinger-H�tte;1815;C.A.I.;0473-965111;;;Monti Sarentini;10                                                                                                        
SELVA DEI MOLINI;BOLZANO;Giovanni Porro;Chemnitzer-H�tte;2420;Provincia Autonoma di Bolzano;0474-653244;info@chemnitzerhuette.com;www.chemnitzerhuette.com;Alpi Aurine - Vedrette di Ries;12 
SELVA DEI MOLINI;BOLZANO;Ponte di Ghiaccio;Edelraut-H�tte;2545;Provincia Autonoma di Bolzano;0474-653230;info@edelrauthuette.it;www.edelrauthuette.it;Alpi Aurine - Vedrette di Ries;13      
SELVA DI VAL GARDENA;BOLZANO;Juac;Juac-H�tte;1905;Privato;335-8082321;info@juac.it;www.juac.it;Odle - Puez - Sella;13                                                                        
SELVA DI VAL GARDENA;BOLZANO;Toni Demetz;Toni-Demetz-H�tte;2685;Privato;0471-795050;14                                                                                                       
335-6586796;info@tonidemetz.it;www.tonidemetz.it;Catinaccio - Sciliar - Sassolungo;14                                                                                                        
SENALES;BOLZANO;Bella Vista;Sch�ne-Aussicht-H�tte;2842;Privato;0473-662140;info@schoeneaussicht.it;www.schoeneaussicht.it;Sesvenna - Alpi Venoste e Stubai - Tessa;10                        
SENALES;BOLZANO;Similaun;Similaun-H�tte;3018;Privato;0473-669711;info@vent-hotel-post.com;www.vent-hotel-post.com;Sesvenna - Alpi Venoste e Stubai - Tessa;17                                
SESTO;BOLZANO;Pian di Cengia;B�llelejoch-H�tte;2528;Privato;337-451517;info@rogger.info;www.rogger.info;Dolomiti di Sesto;16                                                                 
SESTO;BOLZANO;Zsigmondy-Comici;Zsigmondy-Comici-H�tte;2224;Provincia Autonoma di Bolzano;0474-710358;info@zsigmondyhuette.com;www.zsigmondyhuette.com;Dolomiti di Sesto;15                   
STELVIO;BOLZANO;Aldo e Vanni Borletti;Bergl-H�tte;2188;Provincia Autonoma di Bolzano;;;www.berglhuette.it;Ortles - Mendola;16                                                                
STELVIO;BOLZANO;Citt� di Milano;Schaubach-H�tte;2581;Provincia Autonoma di Bolzano;0473-613002;info@schaubachhuette.it;www.schaubachhuette.it;Ortles - Mendola;18                            
STELVIO;BOLZANO;Coston;Hintergrat-H�tte;2661;Privato;0473-613188;info@hintergrathuette.com;www.hintergrathuette.com;Ortles - Mendola;11                                                      
STELVIO;BOLZANO;Julius Payer;Payer-H�tte;3020;Provincia Autonoma di Bolzano;0473-613010;;www.payerhuette.com;Ortles - Mendola;15                                                             
STELVIO;BOLZANO;Serristori;D�sselldorfer-H�tte;2721;Provincia Autonoma di Bolzano;0473-613115;info@duesseldorferhuette.com;www.duesseldorferhuette.com;Ortles - Mendola;20                   
STELVIO;BOLZANO;Tabaretta;Tabaretta-H�tte;2556;Privato;347-2614872;info@tabaretta.com;www.tabaretta.com;Ortles - Mendola;11                                                                  
TERENTO;BOLZANO;Lago della Pausa;Tiefrasten-H�tte;2312;AVS;0474-554999;info@tiefrastenhuette.it;www.tiefrastenhuette.it;Alpi Aurine - Vedrette di Ries;10                                    
TERMENO SULLA STRADA DEL VINO;BOLZANO;Oltradige al Roen;�beretscher-H�tte;1973;C.A.I.;0471-812031;info@rifugioroen.it;www.rifugioroen.it;Ortles - Mendola;20                                 
TIRES;BOLZANO;Alpe di Tires;Tierser Alpl;2440;Privato;0471-727958;info@tierseralpl.com;www.tierseralpl.com;Catinaccio - Sciliar - Sassolungo;10                                              
TIRES;BOLZANO;Bergamo;Grasleiten-H�tte;2134;Provincia Autonoma di Bolzano;0471-642103;grasleitenhuette@tiersertal.com;www.tiersertal.com/grasleiten;Catinaccio - Sciliar - Sassolungo;10     
TIRES;BOLZANO;Passo Santner;Santnerpass-H�tte;2734;Privato;340-6562228;CHIUSO;CHIUSO;Catinaccio - Sciliar - Sassolungo;17                                                                    
TIRES;BOLZANO;R� Alberto;Gartl-H�tte;2621;Privato;0462-763428;info@rifugiorealberto.com;www.rifugiorealberto.com;Catinaccio - Sciliar - Sassolungo;13                                        
TIRES;BOLZANO;Tschafon (Monte Cavone);Tschafon-H�tte;1733;Privato;347-6586796;info@schutzhaus.tschafon.com;www.schutzhaus-tschafon.com;Catinaccio - Sciliar - Sassolungo;12                  
TIROLO;BOLZANO;Bocker;Bocker-H�tte;1717;Interessenza Spronser Alp;0473-945544;;www.bockerhuette.com;Sesvenna - Alpi Venoste e Stubai - Tessa;13                                              
TIROLO;BOLZANO;Oberkaser;Oberkaser-H�tte;2135;Interessenza Spronser Alp;0473-923488;;www.dorftirol.com/oberkaseralm;Sesvenna - Alpi Venoste e Stubai - Tessa;11                              
ULTIMO;BOLZANO;U. Canziani;H�chster-H�tte;2560;C.A.I.;0473-798120;info@rifugiocanziani.it;www.rifugiocanziani.it;Ortles - Mendola;19                                                         
VAL DI VIZZE;BOLZANO;Gran Pilastro;Hochfeiler-H�tte;2710;AVS;0472-646071;info@hochfeilerhuette.it;www.hochfeilerhuette.it;Alpi Aurine - Vedrette di Ries;13                                  
VAL DI VIZZE;BOLZANO;Rifugio Passo di Vizze;Pfitscherjoch;2276;Privato;0472-630119;office@pfitscherjochhaus.com;www.pfitscherjochhaus.com;Alpi Aurine - Vedrette di Ries;14                  
VAL DI VIZZE;BOLZANO;Venna alla Gerla;Landshuterh. (Europah.);2690;C.A.I.;0472-646076;info@europahuette.it;www.europahuette.it;Alpi Aurine - Vedrette di Ries;16                             
VAL DI VIZZE;BOLZANO;Vipiteno;Sterzinger-H�tte;2344;AVS;0472-646074;;www.sterzingerhuette.it;Alpi Aurine - Vedrette di Ries;13                                                               
VALLE AURINA;BOLZANO;Vitt.Veneto Sasso Nero;Schwarzenstein-H�tte;2922;Provincia Autonoma di Bolzano;;knapp@rolmail.net;www.schwarzensteinhuette.com;Alpi Aurine - Vedrette di Ries;20        
VARNA;BOLZANO;Forcella Vallaga;Flaggerscharten-H�tte;2481;Provincia Autonoma di Bolzano;0471-625251;info@flaggerschartenhuette.com;www.flaggerschartenhuette.com;Monti Sarentini;14          
VELTURNO;BOLZANO;Lago Rodella;Radlsee-H�tte;2284;AVS;0472-855230;info@radlseehuette.it;www.radlseehuette.it;Monti Sarentini;10                                                               
